#{"t_start": 1764757858.7891452, "env_id": "None"}
r,l,t
-64.807128,10000,8.366476
-46.753582,10000,23.476964
-28.034262,10000,36.374573
-11.888599,10000,52.243074
-6.6899,10000,65.075761
-3.887985,10000,80.818296
-2.52691,10000,109.962168
-1.858331,10000,129.902806
-1.480714,10000,164.71486
-1.280377,10000,182.013211
.298135
-160.294443,10000,18.220689
-160.262581,10000,19.225432
-160.328506,10000,20.230354
-160.288335,10000,21.228619
-160.318855,10000,22.205618
-160.368405,10000,24.469825
-160.349109,10000,25.444094
-160.300698,10000,26.424462
-160.310509,10000,27.406711
-160.340298,10000,28.395735
-26.953005,10000,31.027103
-26.935425,10000,32.040454
-26.962914,10000,33.046003
-26.95648,10000,34.036845
-26.962836,10000,35.020998
-4.533002,10000,37.382506
-4.509237,10000,38.37473
-4.537415,10000,39.367407
-4.537192,10000,40.39635
-4.519092,10000,41.424416
-1.753442,10000,46.934772
-1.747919,10000,47.925755
-1.740517,10000,48.915044
-1.743573,10000,49.897874
-1.739318,10000,50.876055
-1.298395,10000,53.25685
-1.29581,10000,54.235175
-1.285027,10000,55.216613
-1.287016,10000,56.193352
-1.291774,10000,57.175875
-0.72101,10000,59.553336
-0.718646,10000,60.526768
-0.709217,10000,61.501159
-0.710545,10000,62.474076
-0.70631,10000,63.461944
-0.09672,10000,66.105334
-0.095529,10000,67.133583
-0.099794,10000,68.163115
-0.099508,10000,69.214622
-0.101763,10000,70.236759
-0.247085,10000,74.898988
-0.245749,10000,75.895494
-0.251868,10000,76.897571
-0.249707,10000,77.887064
-0.251959,10000,78.909462
-0.38552,10000,81.842541
-0.381777,10000,82.814873
-0.382754,10000,83.808938
-0.384123,10000,84.796916
-0.378412,10000,85.782275
-0.125712,10000,99.241639
-0.126855,10000,100.238512
-0.127283,10000,101.227683
-0.125796,10000,102.21792
-0.127261,10000,103.215964
-0.254828,10000,110.976929
-0.256278,10000,111.992431
-0.25341,10000,112.997288
-0.255751,10000,113.998402
-0.257043,10000,115.002831
-0.094601,10000,124.359576
-0.09854,10000,125.346312
-0.100972,10000,126.335634
-0.096939,10000,127.319664
-0.096386,10000,128.320913
-0.125213,10000,130.913808
-0.124824,10000,131.90092
-0.127945,10000,132.887265
-0.126544,10000,133.873348
-0.126962,10000,134.853429
-0.059755,10000,159.53748
-0.059194,10000,160.524009
-0.059123,10000,161.503207
-0.059133,10000,162.489042
-0.057399,10000,163.471668
-0.047225,10000,165.721425
-0.047395,10000,166.721242
-0.043183,10000,167.727591
-0.045854,10000,168.744401
-0.042907,10000,169.738686
-0.014042,10000,172.307229
-0.016699,10000,173.291936
-0.015858,10000,174.281182
-0.012714,10000,175.266023
-0.016416,10000,176.25085
-0.032869,10000,183.004061
-0.03532,10000,183.989578
-0.033425,10000,184.974788
-0.032378,10000,185.958256
-0.034924,10000,186.939407
